country,tls13,ipv6,http3,iqi_p50,region
CY,63.66673716981132,16.98075975471698,28.82895883018868,16.035380056603774,EU-West
CZ,65.85414618867925,26.8319489245283,28.71905175471698,23.971021452830186,EU-East
DE,74.29288905660377,34.73405539622642,17.027537622641507,26.53304516981132,EU-West
DJ,63.21801796226415,2.6671270943396226,27.59474158490566,4.9247978490566044,Other
DK,63.56024550943397,20.888093150943398,32.103877905660376,33.33625743396227,EU-West
DM,65.05146737735849,30.530707735849056,30.107542924528303,8.385688037735848,Other
DO,66.76907705660376,30.07802124528302,27.38171041509434,10.409626981132076,Other
DZ,60.12780547169811,0.4885428301886792,29.525996962264152,9.546320773584906,Africa
EC,72.35703032075472,23.09512730188679,21.223039264150945,16.221981716981134,LATAM
EE,63.76707032075472,32.232207018867925,30.005025094339622,29.464162547169813,EU-East
EG,61.06509471698113,4.418201660377359,30.686375320754717,8.103538735849057,MENA
EH,69.11207209433962,69.36190309433962,2.5015194339622644,7.41102025,Other
ER,74.06178167924529,57.276043811320754,8.550965452830189,8.510521,Other
ES,71.51057967924528,10.898057679245282,23.782139320754716,29.16878813207547,EU-West
ET,66.77500262264151,0.44225924528301885,23.087521000000002,4.27855141509434,Africa
FI,78.31993350943397,32.16694303773585,14.104020320754715,22.901895000000003,EU-West
FJ,65.57055290566038,23.13674996226415,30.138808641509435,6.848848433962265,Other
FK,75.19980818867924,21.266345811320758,11.50796803773585,9.183063357142856,Other
FM,59.09226030188679,16.213365056603774,35.63836815094339,6.872141169811321,Other
FO,62.23040939622641,3.180618320754717,33.05215745283019,15.54993816981132,Other
FR,71.74437005660377,49.8670530754717,22.135041396226413,33.13926564150943,EU-West
GA,68.4615348490566,20.662014509433963,22.847729679245283,4.347664037735849,Other
GB,70.48456884905661,30.794659226415096,21.914372264150945,31.101076358490566,EU-West
GD,70.35090383018867,9.40152520754717,24.607817132075475,8.355509452830189,Other
GE,53.84946405660378,9.48282120754717,36.247154528301884,11.224076566037734,Other
GF,65.28336220754717,22.568057509433963,29.41943558490566,7.517822,Other
GG,65.98548552830188,4.775552396226415,25.253128811320757,27.522425528301888,Other
GH,69.51778754716982,2.0240597924528303,24.659055792452833,5.317602056603773,Africa
GI,94.08818511320754,0.17391839622641508,2.8368635471698114,30.373793679245285,Other
GL,57.302840641509434,2.3582702264150943,26.783156113207546,6.62105620754717,Other
GM,77.6716260754717,0.44028333962264155,13.850508132075472,7.484394452830189,Other
GN,72.08238467924528,0.5788274150943395,15.679026320754716,3.7628028679245284,Other
